      32	   8	       128	     0.013 GigaMultsPerSecond
      32	  16	        64	     0.015 GigaMultsPerSecond
      32	  32	        32	     0.015 GigaMultsPerSecond
      64	   8	       512	     0.051 GigaMultsPerSecond
      64	  16	       256	     0.060 GigaMultsPerSecond
      64	  32	       128	     0.060 GigaMultsPerSecond
     128	   8	      2048	     0.243 GigaMultsPerSecond
     128	  16	      1024	     0.267 GigaMultsPerSecond
     128	  32	       512	     0.253 GigaMultsPerSecond
     256	   8	      8192	     0.872 GigaMultsPerSecond
     256	  16	      4096	     0.860 GigaMultsPerSecond
     256	  32	      2048	     0.804 GigaMultsPerSecond
     512	   8	     32768	     0.618 GigaMultsPerSecond
     512	  16	     16384	     0.796 GigaMultsPerSecond
     512	  32	      8192	     0.840 GigaMultsPerSecond
    1024	   8	    131072	     1.745 GigaMultsPerSecond
    1024	  16	     65536	     2.249 GigaMultsPerSecond
    1024	  32	     32768	     2.757 GigaMultsPerSecond
