      32	   8	       128	     0.012 GigaMultsPerSecond
      32	  16	        64	     0.011 GigaMultsPerSecond
      32	  32	        32	     0.016 GigaMultsPerSecond
      64	   8	       512	     0.079 GigaMultsPerSecond
      64	  16	       256	     0.078 GigaMultsPerSecond
      64	  32	       128	     0.071 GigaMultsPerSecond
     128	   8	      2048	     0.194 GigaMultsPerSecond
     128	  16	      1024	     0.261 GigaMultsPerSecond
     128	  32	       512	     0.249 GigaMultsPerSecond
     256	   8	      8192	     0.880 GigaMultsPerSecond
     256	  16	      4096	     0.920 GigaMultsPerSecond
     256	  32	      2048	     0.941 GigaMultsPerSecond
     512	   8	     32768	     0.705 GigaMultsPerSecond
     512	  16	     16384	     1.124 GigaMultsPerSecond
     512	  32	      8192	     1.085 GigaMultsPerSecond
    1024	   8	    131072	     1.818 GigaMultsPerSecond
    1024	  16	     65536	     2.567 GigaMultsPerSecond
    1024	  32	     32768	     2.933 GigaMultsPerSecond
